model,foundation,en_mean,es_mean,en_minus_es,human_pooled_mean,en_abs_dist,es_abs_dist,spanish_closer
llama3.1:8b,Care,4.963333333333333,4.8566666666666665,0.10666666666666647,3.765756985055231,1.197576348278102,1.0909096816114356,True
llama3.1:8b,Equality,3.533333333333333,3.6366666666666667,-0.1033333333333335,2.799545159194282,0.7337881741390513,0.8371215074723848,False
llama3.1:8b,Proportionality,3.373333333333333,3.4033333333333333,-0.03000000000000025,3.771442495126706,0.39810916179337275,0.3681091617933725,True
llama3.1:8b,Loyalty,3.18,3.37,-0.18999999999999995,3.641975308641975,0.4619753086419749,0.27197530864197494,True
llama3.1:8b,Authority,3.27,3.57,-0.2999999999999998,3.787524366471735,0.517524366471735,0.21752436647173523,True
llama3.1:8b,Purity,2.3466666666666667,2.32,0.02666666666666684,2.7867121507472388,0.4400454840805721,0.46671215074723893,False
mistral:7b,Care,5.0,4.956666666666667,0.043333333333333,3.765756985055231,1.2342430149447692,1.1909096816114362,True
mistral:7b,Equality,3.186666666666667,3.78,-0.5933333333333328,2.799545159194282,0.38712150747238505,0.9804548408057179,False
mistral:7b,Proportionality,3.94,3.736666666666667,0.20333333333333314,3.771442495126706,0.16855750487329413,0.034775828460039016,True
mistral:7b,Loyalty,4.3133333333333335,4.126666666666667,0.18666666666666654,3.641975308641975,0.6713580246913584,0.4846913580246919,True
mistral:7b,Authority,4.226666666666667,4.013333333333333,0.21333333333333382,3.787524366471735,0.4391423001949315,0.22580896686159768,True
mistral:7b,Purity,4.023333333333333,3.97,0.05333333333333323,2.7867121507472388,1.2366211825860947,1.1832878492527614,True
qwen2.5:7b,Care,4.99,4.75,0.2400000000000002,3.765756985055231,1.2242430149447694,0.9842430149447692,True
qwen2.5:7b,Equality,2.933333333333333,3.013333333333333,-0.08000000000000007,2.799545159194282,0.1337881741390512,0.21378817413905127,False
qwen2.5:7b,Proportionality,3.103333333333333,3.006666666666667,0.09666666666666623,3.771442495126706,0.6681091617933728,0.764775828460039,False
qwen2.5:7b,Loyalty,3.75,2.4166666666666665,1.3333333333333335,3.641975308641975,0.10802469135802495,1.2253086419753085,False
qwen2.5:7b,Authority,3.956666666666667,3.506666666666667,0.4500000000000002,3.787524366471735,0.16914230019493193,0.28085769980506825,False
qwen2.5:7b,Purity,2.23,2.07,0.16000000000000014,2.7867121507472388,0.5567121507472388,0.7167121507472389,False
