foundation,n,mean,sd
Care,1026,3.7657569850552304,0.7664250137836902
Equality,1026,2.799545159194282,0.9291111286573702
Proportionality,1026,3.771442495126706,0.688219050806657
Loyalty,1026,3.641975308641975,0.8142278414657201
Authority,1026,3.787524366471735,0.7241945573243914
Purity,1026,2.7867121507472383,0.8522999065590158
